asin,sale_price,mrp,product_url,full_title,product_image,product_price,brand,colour,item_dimensions_l_x_w_x_h,shape,number_of_items,package_size_name,manufacturer,net_quantity,scent,product_benefits,sun_protection_factor,item_weight,skin_type,item_volume,item_form,finish_type,special_ingredients,speciality,age_range_(description),skin_tone,material_type_free,special_feature,material_feature,use_for,package_information,flavour,net_content_count,is_heat_sensitive?,active_ingredients,recommended_uses_for_product,power_source,material,massager_form,specific_uses_for_product,product_dimensions,coverage,bristle_material,item_package_quantity,sun_protection,model_name,shelf_life,hair_type,size,heater_surface_material,eyelid_colour_type,country_region_of_origin,style,number_of_pieces,pattern,target_audience,lip_color_undertone,product_care_instructions,operation_mode
B00PBX3L7K,"₹1,058","₹1,058",https://www.amazon.in/dp/B00PBX3L7K,Cosrx Advanced Snail 96 Mucin Power Essence (100ml),https://m.media-amazon.com/images/I/416kUGx2rQL._SX679_.jpg,"₹1,058.00",COSRX,,,,,,,,Unscented,"Soothing, Dark Spots, Improves Skin Vitality, Repairs, Moisturising, Nourishes, Plumps",,,"Combination, Dry, Normal, Oily",,Cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0FDQZBV6K,₹590,₹11.80,https://www.amazon.in/dp/B0FDQZBV6K,"Hyphen 18% Brightening + 20% Collagen Face Serum | Double Shot Serum with 11% Mandarin 5% Niacinamide 2% PGA & Bakuchiol | Summer Skincare | Brightening, Hydrating & Collagen Boost for Dry Skin - 50ml",https://m.media-amazon.com/images/I/614M7aJAe8L._SX679_.jpg,₹590.00,Hyphen,,,,,,,,Fragrance Free,Brightening,,80.01 Grams,All,,Serum,,Niacinamide 4%,,,,,,Cruelty Free,Face,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0FXLPVY2M,₹279,₹329,https://www.amazon.in/dp/B0FXLPVY2M,"Swiss Beauty Glow Up Strobe Cream | Dewy Radiance | Hydrating | Versatile Use | With Jojoba Oil | For All Skin Types | 30ml, Shade- 2. Moonlit Glow",https://m.media-amazon.com/images/I/519nf0hf2EL._SX679_.jpg,₹279.00,SWISS BEAUTY,Moonlit Glow,40 x 40 x 40 Millimeters,,1,,,30.0 Grams,,,,30 Grams,All,,Cream,,,,,All,,,,,,,,,,,,,,,,Buildable,,,,,,,,,,,,,,,,,
B0GHXZ4FVZ,₹999,"₹1,628",https://www.amazon.in/dp/B0GHXZ4FVZ,"FAE Beauty The Complete Lip Kit Gift Set | Consists of 3 bestsellers - Re:Define Lip Liner, Lip Whip & Peptide Glaws Gloss | Shades - Borderline, Screw, Living",https://m.media-amazon.com/images/I/61amHT9-8XL._SX679_.jpg,₹999.00,FAE Beauty,Multicolor,17.3 x 10.4 x 5.3 Centimeters,,1,,,3.0 Count,,Long Wearing,,170 Grams,All,,Stick,,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0FB8WHV8J,₹100,₹299,https://www.amazon.in/dp/B0FB8WHV8J,"Matte Love Mini Lipsticks, Pack Of 8 (Nude) - Suits all skin types - Nourishes & Hydrates Dry Chapped Lips (10ml)(Natural_lips_nude_stick_bzr)","https://m.media-amazon.com/images/I/41xN0GDDyAL._PIbundle-4,TopRight,0,0_SX444SY562SH20_.jpg",₹100.00,Frippe,Nude,,,4,,,8.0 Milliliters,,,,,,,Liquid,Matte,,,Adult,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unisex-Adults,Neutral,,
B08X7KS4QG,₹122,₹135,https://www.amazon.in/dp/B08X7KS4QG,Blue Heaven Hyper Stay Weightless Liquid Matte Lipstick | Long-lasting & Smudge Proof | Non-Transfer Matte Lipstick for Women| Wild Plum-07 | 6ml,https://m.media-amazon.com/images/I/51eCYVEzPcL._SX679_.jpg,₹122.00,Blue Heaven,Wild Plum,35 x 20 x 28 Millimeters,,,,,,,Smudge Proof,,6 Grams,,,Liquid,Matte,,All Skin Type,Adult,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0H12N86FS,₹179,₹299,https://www.amazon.in/dp/B0H12N86FS,"Long Handle Silicone Back Scrubber Brush for Shower Bath, Round Head, Deep Cleansing Body Massage Multicolor (Pack of 1)",https://m.media-amazon.com/images/I/61suPrEOU9L._SX679_.jpg,₹179.00,Jpiez,Black,37 x 8 x 3.5 Centimeters,,,,,,,Cleansing,,,All,,,,,,,,,,,,,,,,,,Manual,Silicone,,,,,,,,Long Handle Silicone Back Scrubber Brush,,,,,,,,,,,,Rinse Thoroughly After Each Use,Manual
B079217ZNP,₹415,₹599,https://www.amazon.in/dp/B079217ZNP,"Maybelline New York Instant Age Rewind Dark Circles Treatment Concealer - Medium, Packed with Goji Berry & Haloxyl, Bright & Refreshed eyes, Erase dark circles & fine lines, Long Lasting Concealer, 6g",https://m.media-amazon.com/images/I/412mmNe7bhL._SX679_.jpg,₹415.00,Maybelline,130 Medium,,,,,,,,"Anti-Aging, Corrects Imperfections, Dark Circles Treatment, Fine Lines Treatment, Radiant Finish",,,All,,"Liquid, Pencil",,,,\u0935\u092f\u0938\u0915,Medium,Alcohol Free,,,,Bottle,,,,,"Concealing, Dark Circles, Flawless",,,,,,,,,,,,,,,,,,,,,,,
B0BB1ZNC7P,"₹2,550","₹3,000",https://www.amazon.in/dp/B0BB1ZNC7P,Beauty Garage Botoplex K9 Shampoo And Conditioner For Women | 300ml + 300ml Combo | Sulfate Phosphate Paraben Free Duo With Frizz Control | Shampoo And Conditioner For Color Maintenance,https://m.media-amazon.com/images/I/41sOjpwez0L._SY679_.jpg,"₹2,550.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0FYQ7L8PK,₹349,,https://www.amazon.in/dp/B0FYQ7L8PK,"Swiss Beauty Awaken Eyeshadow Palette | Matte + Shimmer Finish | Long-Lasting | Blendable | Shade- 1. Blooming Rose, 11g",https://m.media-amazon.com/images/I/61CE8TnEDqL._SY879_.jpg,₹349.00,SWISS BEAUTY,Blooming Rose,40 x 40 x 40 Millimeters,,1,,,11.0 Grams,,,,11 Grams,,,Powder,Matte,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
